S.No,text,Label
634,మీ లాంటి లాయరు ఉండటం మా అదృష్టం సార్.....మీకు ధన్యవాదాలు..,non-hate
635,మీలాంటి  వారు ఉంటే ప్రతి సామాన్య వారికి  న్యాయం జరుగుతుంది. Salute sir,non-hate
636,ఆకలితో అయినా చనిపోతాను గానీ ఆత్మగౌరవం తో బ్రతుకుతాను i like it,non-hate
637,తనకు వర్తించే మాటలన్నీ తన నోటిద్వారానే పలికిన గొప్ప వ్యక్తి.,non-hate
638,Muthy garu వీడు జనాలు అంత వెదవలు అనుకుంటున్నాడా…… ఎంత మొత్తుతున్నా ఎవడు నమ్మరు……..,hate
639,ఎంపీ గారి ఫోన్ హ్యాండ్ ఓవర్ చేసుకొని ఫోరెన్సిక్ ల్యాబ్ కి పంపాలి,non-hate
640,హోమ్ మినిస్టర్ 2000% UNFIT... ఆమెకి ఉన్న తెలివి కి Village member కే ఎక్కువ,hate
641,పోలీసు లు కాదు వీళ్లు బ్రోకర్ లు,hate
642,ఎవరు అంత సిగ్గులేని యస్.పి....ఐ.పి.యస్ అనే ఉన్నతమైన దానికీ సిగ్గుచేటు,hate
643,Baabu gaari టైంలో మంచి పేరు తెచ్చుకున్న ఫకిరప్ప ఇలా దిగజారి పోయినాడేమి దేవుడా,hate
644,AP...lo...Asalu..criminals..ku...Votlu  Vesi..na..AP...Janalaku..100%√>> Sigguledhu..first..AP...lo..Undi.. YCP..Police..station...AP...lo..Asalu.. Police..varu..layru....Next..2024..lo.. Untundi..AP...Police..vari..ki...,hate
645,Asalu criminals ku votlu vesi na janalaku sigguledhu first,hate
646,అసలు మాట్లాడకే రాదు నికి ఎంపీ పదవి ఎలా ఇచ్చారో,hate
647,బుల్లితెర జబర్దస్త్ కమలహాసన్ గెటప్ శీను సుధీర్ లేని లోటు ఎవరి తీర్చలేక పోతున్నారు మాకు Miss u sudheer anna,non-hate
648,నిజంగా ఈ లవ్ స్టోరీ ఏంది భై  శీనన్న ఏడిచే సీన్ సూపర్,non-hate
649,శ్రీను అన్నా నువ్వు చెప్పింది నిజం .... ఈ బగ్రౌండ్ music tho చిరాకు తెప్పిస్తుంది ప్రోగ్రామ్,hate
650,Getup srini anna superb...miru ravadam chala santhosham,non-hate
651,"గెటప్ శ్రీను అన్న యమధర్మ రాజు పాత్రలో కామెడీ అదరగొట్టారు  ఇమ్ము- వర్ష, ప్రవీణ్- ఫైమా, రాకేష్- సుజాత గార్ల లవ్ ట్రాక్ నిజమని ఎంత మంది అనుకుంటున్నారు",non-hate
652,"వీడియో ని "" skip "" చేయకుండా చూసిన వాళ్ళు ఒక లైక్ వేసుకోండి మన హర్ష సాయి అన్న కోసం",non-hate
653,మీరు చరిత్రలో నీలుస్తరు బ్రో Hand's off to Your help full to poor people.,non-hate
654,Prajalu question cheyanantha varaku politicians mararu. Politics marav. The great AP people,hate
655,అయ్య ఎంపీ గారు నీ మీద వీడియో ఎవరో కుట్రలుచేసి వైరల్ చేస్తే నువ్వు కేసు పెట్టాలికానీ ఎవడో అభిమాని కేసు పెట్టుడేంది ఖవరింగ్ లొద్దు,hate
656,"హర్ష సాయి ఫ్యాన్స్ ఎంతమంది ఉన్నారు ఇక్కడ,. A man with golden heart",non-hate
657,రైతు సంతోషిస్తుంటే కన్నీళ్లు ఆపుకోలేకపోయాను,non-hate
658,e video chusina tarvata ilanti manchi manushulu untara ani chala santhosham anipinchindi,non-hate
659,అన్న నీలాంటి వాడు దేశం లో ఉండాలి .....నువ్వు అందరికీ ఒక ఇన్స్పిరేషన్ ........జై హింద్ అన్నయ్య,non-hate
660,e 75kurma bharataswatantra desaniki nizamaina geept ichchavu. anna nuvvu... desamloni prathivaadu garvapadela vundi....,non-hate
661,"వాళ్లు ఈ జీవితం లో కూడ ఫలక్నామ ప్యాలస్ లో బోజనం చేసివుండకపోదురు,నువ్వు గ్రేట్ బ్రో",non-hate
662,ఈ వీడియో చూస్తుంటే నాకు కన్నీళ్ళు ఆగటంలేదు అసలు మాటలే రావటంలేదు...    హర్ష బ్రదర్ నీ దేవుడు ఇంకా ఇంకా దీవించును గాక..,non-hate
663,ఎవ్వరు చెయ్యలేని గొప్ప పని మీరు చేశారన్న మీరు గ్రేట్ అన్నా,non-hate
664,"Ettaa teesaru bhayyaa...cinema ni writing,performance,music..direction everything is just classic...the best love story ive watched till no",non-hate
665,Nag sir la natural ga evaru matlada leru...nag sir super,non-hate
666,Nuv chesthe cinema appadam aithadi saaar,hate
667,Nuvvu chesunte flop ayyedemonani naa doubt,hate
668,"ఎప్పుడు పక్కోళా మీద పడి ఏడవటం తప్ప ఎం ఉపయోగం లేదా మీ వల్ల, తాత మీరు ఈ సినిమా చేసే వారా,అది మీ క్యారెక్టర్ నా ఇంకా నయం డీజే టిల్లు కూడా నేను చేసే వాడ్ని అని చెప్పాలేదు",hate
669,itlantivi ఎందుకు చేస్తారండి meeru rotta cinemalu matrame chestaru sir meeru... any way .. ayina meerante naakistam sir,hate
670,Manchi Pani iyendi neku rakapovadam,hate
671,Nv చేసుంటే utterflop అయ్యేది,hate
672,Em manishulu ra miru bhimbisara manchi movie petukoni...e movie evaru chustaru ra nag,hate
673,ఉండవల్లి గారు మీరు ఎంత చెప్పినా తాగే వాళ్ళు తాగమన్నారు వాళ్లు అలా తాగుతూనే కదా ప్రభుత్వాలు నడిచేది నా బాధలు ఏంటంటే 20 సంవత్సరాలు నిండని పిల్లలు కూడా తాగుతున్నారు అదే నా బాధ,non-hate
674,మీరు నిజంగా సూపర్ సార్ మీరు మాట్లాడేది ఏదయినా Exlnt,non-hate
675,మీడియా సమావేశం పెట్టి మందు గురించి మాట్లాడే మహానుభావుడు,non-hate
676,సర్...మీరు చాలా బాగా చెప్పారు ...ప్రజలకు అర్ధమయ్యే విధంగా మాట్లాడే నాయకుడు ఎవడైనా ఉంటే అది   మీరు...హాట్సాఫ్ సర్...,non-hate
677,గురువు గారు ఆ చీఫ్ నిక్కర్ లో కూడా కల్తీ కాల్పుతున్నరు... ప్రతి కోటర్ లో కూడా..... ది నమ్మ జీవితం,hate
678,e rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar,non-hate
679,Ma city lo every 1 km lopala 3 wines vnayi last 2 years nundi... licences Ela padithe alaa evhesaru...Iast elections lo TDP ki vote vesinanduku nenu chala badhapadatananu,hate
680,Me knowledge ku salute sir me lanti vallu ilantivi appudappudu media mundi cheppandi,non-hate
681,"ఇంత చక్కటి సినిమా తీసినందు మీకు ఎలా కృతజ్ఞతలు చెప్పాలో అర్థం కావటం లెదు.. ఈ  classic movie చరిత్ర lo నిలిచిపోతుంది
",non-hate
682,Hanu గారు is a very descent and dignified person unlike the arrogant petty giramouli. Hanu గారు is very simple and down to earth person. Best wishes to him.,non-hate
683,Geniune banner and andharu chala hardwork chestharu.,non-hate
684,Meeru cheppindi nijam chesaru hanu garu...aa nijaanni nen e roju theatre lo chusanu no mobile light was on during the movie time...kudos to u,non-hate
685,Em confident sir movie eeroju chusa meeru movie gurinchi cheppindhi chala thakkuva sir movie extraordinary ga undh ,non-hate
686,Vishal chandrashekhar aa bgm endhira saami edipinchesaav,hate
687,Hanu raghavapudi love story ante super immersive ga untadi,non-hate
688,Super comidy mi cinima hit kavali,non-hate
689,ery pappa la tho comedy very pappa la uanttadhi dhodhu dhodhey,hate
690,రాజు ఎప్పుడూ రాజులానే మాట్లాడుతాడు...జై ఆర్ఆర్ఆర్...,non-hate
691,ఇంతవరకు వచ్చినాక చర్యలుతీసుకోకపోతే మిగితావారందరూకూడ విశ్వరూపాలు చూపించి పాపులర్ అవ్వడానికి సిద్దపడతారు..ఇవన్నీచూసి ప్రజలు సచ్చిపోతారు సామి..,hate
692,ఏదో మాటవరుసకి యూనిఫాం తీసేసి రా చూద్దాం..... అని జె సి దివాకర్ రెడ్డి అంటే మాత్రం,hate
693,Ycp vunnatha varaku Andhrapradesh paristhi enka diga jaaripotaadi.... Vaalu leaders kaadu maha vedava lu... Okarini minchina varu okaru,hate
694,SheM gari manasu doche untadu goratla madhavudu; promotion confirm deputy SheM poste,hate
695,Goppa goppollu ...AP nundi parliament ki vellaru...maa Telangana chala better...anna Maa Telangana lo dikkumalina video samskruthi Inka rale...,hate
696,అసలైన జాతిరత్నం మన డైరెక్టర్ గారు అన్న వాళ్ళు ఒక లైక్ కొట్టండి,non-hate
697,మనకి మంచి డైరెక్టర్ దొరికేసాడు నవ్వు కి మించిన మంచి మందు ఏమి లేదు.,non-hate
698,వేణు స్వామీ మీ మాటలు అన్నీ అబద్దం.,hate
699,Elanti valanu encourage cheyadam media valu tappu. Veeri mida government charyali tisukovali. Naku telisi jatakalu emi vundaavu ani medhavlu chala mandi chepparu. Public nu cheating chestunnaru.,non-hate
700,Miru eppudu chanipotharu swamy,hate
701,Sketch వేసింది ఎవరో కూడా చెప్పండి (దమ్ము ఉంటే),hate
702,yogi cinemaa muhurtham pettaduu ...adi flop avuddani teliyadu raa maidapindii,hate
703,"Babu gogineni sir,veedu inka marala please evarikina choopinchandi please",hate
704,Mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek telidha,hate
705,Cheating cheyadam kante coolie pani chesukoni bratikite chala happy ga vuntundi. Mi lanti vari matalu mudhanammakalu vundevaru nammutaru,hate
706,రాష్ట్రానికి నువ్వుండగా వేరే మృగం ఎందుకు బాబు,hate
707,"మీ మాటలు ""అగ్నిజ్వాలలు"". ధన్యవాదములు.",non-hate
708,Mouli anna content vere level,non-hate
709,Tammi... Nuvvu benz car kone stage ki asthav...neelo a kasi n talent rendu unnayi... All d best,non-hate
710,Best Laddu lags pilla award goes to Mouli mama,hate
711,"bro part 2 cheyandi bro ,chala rojula taravata baga navukunanu",non-hate
712,"Nenu ippudu hospitallo vunna nevalle navvi navvi chanipoyanu,doctor treatment chesthunadhu(just kidding)",non-hate
713,తెలుగు లో ఉన్నా అన్ని వ్లోగ్ ఛానెల్ వాళ్లని ఏసుకున్న NTB ఆన్న కి ధన్యవాదాలు..,non-hate
714,ఎంతో నమ్మసక్యంగ చెప్పావ్ సామి.      నీ కామెడీ తో జబర్దస్త్ చూడటమే మనేసాను.....మీరు రాసుకున్న స్క్రిప్ట్ ఇంకా ఫన్నీగా ఉంది,non-hate
715,నేను నమ్మను. ఇదంతా సాధ్యం అయ్యే పని కాదు. నీ స్క్రిప్టు వర్క్ కి జోహార్లు రా నాయన. ఎంతో నమ్మసక్యంగ చెప్పావ్ సామి. ,non-hate
716,Chillara Vedhavalu  ruling and ruined the State. Andhrulu andhuly enjoying for their overenthusiastic attitude. Sani dapurinchina Rashtram ,hate
717,Fake లు ఎందుకు చూడటం..Original చూపిస్తాను అంటునాడు పోయి దర్శనం చేసుకొని పాప విముక్తి పొందండి,hate
718,రాధాకృష్ణ గారికి దూల తీరింది .నభూతొ నా భవిశ్యత్..,hate
719,A B N  MD రాధాకృష్ణ గారి కి  చుక్కలు చూపించిన   ''K A పాల్ గారు'' మీరు సూపర్ సార్ నీ మాటల్లో నిజాయితీ కల్పిస్తుంది..,non-hate
720,ఇండియాలో బెస్ట్ లీడర్ కె ఏ పాల్ ఆయన మాటల్లోనే ఉంది నిజాయితీ జై కె ఏ పాల్,non-hate
721,అన్యాయమా ఆముదామా అవన్నీ చేతకాని వాళ్లు మాట్లాడే మాటలు ఇక్కడ బుర్ర ఉన్నోడు జుర్రుకుంటాడు,hate
722,మహేష్ అన్న కామెడీ టైమింగ్ సూపర్.. జై మహేష్ అన్నయ్య..,non-hate
723,Eppatiki oka 200 times chusa kavacchu ee scene kani prathisari adhe feel adhe goosebumps Raviteja acting ki aa voice lo base ki Rajamouli direction ni dominate chesina one and only hero MASS MAHARAJA ,non-hate
724,Nijamga chala natural comedy idi Venu Madhav gaari acting super ,non-hate
725,Venu Madhav lanti comedy evaru ceyyaru I am very very missing Venu Madha,non-hate
726,ఎక్కడ దొరికిందయ్య సామి భలే పోచమ్మ బాగా ఆడింది బాగా ఆక్ట్ చేసింది,non-hate
727,"శుభాకాంక్షలు సర్, మీ సినిమాకు ప్రేక్షకులు అన్నిచోట్లా బ్రహ్మరధం పడుతున్నట్లు తెలుస్తోంది",non-hate
728,మీరు స్త్రీల ను తల్లి అని  గౌరవించే మీ ప్రవర్తనకు   పాదాభివందనం,non-hate
729,మీలాంటి వారు వుంటే ఆడపిల్లలకు చాలా ధర్మం జరుగుతుంది సార్,non-hate
730,భరతమాత ముద్దుబిడ్డ అంటే మీరే సార్ ఇలాంటి వారికి శతకోటి వందనాలు.,non-hate
731,పోలీస్ వేవస్థలో మీలాంటి SP లు ఉంటే పోలీస్ లపై  గౌరవం పెరుగుతుంది సార్...మీలాంటి SP మా తెలంగాణా లో కూడా రావాలి సార్,non-hate
732,నాకు పెద్దగా పోలీస్లూ అంటే నచ్చరు... కానీ మీకూ నా హ్యాట్సాఫ్ సార్... మీలాంటి వాళ్లు అన్ని చోట్ల ఉండాలని కోరుకుంటున్నాను,non-hate
733,మీ లాంటి వారు స్టేట్‌ కు DGP  గా వు0టీ స్టేట్‌ బాగుంటుంది సార్‌ అయినా మీకు  మిమ్మల్ని కన్నతల్లి తండ్రి గారికీ నా శతకోటి   పాదాబి వందనాలు,non-hate
734,తెలంగాణ ప్రజల ప్రాణాలతో ఓచినా పదవి నీది..నువ్వు ఎదో చేస్తావని నిన్ను గెలిపించం కానీ నువ్వు చేసింది ఏం లేదు.,hate
735,"ఇప్పుడు వాళ్ల ను విమర్శిండానికి  ఈ ప్రెస్ మీట్. ఇంకా ఏం లేదా. వాళ్ల కు బయ పడి ఈ ప్రెస్ మీట్. మోడీ వచ్చి ఎన్ని రోజులకు 
మోడీ పైన విమర్శలు. నువ్వు ఎన్ని చెప్పిన వినే రోజులు పోయాయి.",hate
736,saar k bayam chicchukocchindi anduke peg esukoni vachhi loda loda notiki vacchindi vagutunnadu,hate
737,Arey kcr saab మీరు పెద్దగా santosham లో ఉన్నారు సరేనా ఒక్క సారి సీఎం కావడానికి రాష్ట్రం పేరు చెప్పి మళ్ళీ students ప్రాణ త్యాగాలు చేస్తే నువ్వు సీఎం అయ్యహు తెలుసుకో,hate
738,ఇలాంటి మాటలతో ఇంకా ఎన్ని రోజులు ప్రజలను మోసం చేస్తారు....?? దళిత ముఖ్యమంత్రి ని చేస్తా అని 8years అవుతుంది...ఇంకా ఎప్పుడు చేస్తారు????,hate
739,దిక్కుమాలిన ప్రభుత్వం..బీజేపీ కి నంబర్స్ లేక పోతే నువ్వు నీ కూతురో నో పోటీచేయ వచ్చు కదా,hate
740,"Intaki Rahul evadabba, sir indirect ga Congress Rahul Gandhi ki hint istunda kalsipodamani",non-hate
741,సినిమా చాలా బాగుంది నేను చూశాను,non-hate
742,"blockbuster hit aindhi movie, nikhil saab acting excellent, bollywood lo already dhummu leputhondhi",non-hate
743,Movie lo content chala bagundi evvadu apaledu movie ni dilraju kuda,non-hate
744,Dil raju Cheedapurugu Tollywood ki. Tollywood Karan Johar ee Dil Raju.Ravi teja Krack movie ni kuda elane Tokkesadu,hate
745,Nikhil annaki ye saport lekunda mass hit kottaadu movie maathram super,non-hate
746,నిఖిల్ గారికి 100% ఆయన అభిమానులతో పాటు పవన్ కళ్యాణ్ గారి అభిమానులు కూడా తోడుగా ఉన్నారు  జై పవర్ స్టార్,non-hate
747,"This should be  a good lesson for youngsters.  Moral is "" జీవితం లో గెలుపుకి బందు మిత్రులు ఎక్క్కువ, కాని ఓటమి ఎప్పుడు అనాదే""",non-hate
748,Karthikeya 2 movie is block buster and story oriented . Karthikeya 2 movie ki screens ivvakapote next nunchi Dilraju movies Anni boycott cheyyali.,hate
749,Dhil raju manchi cinemal ki alaane chesthaadu. Last time krack movie ki alaa chesaadu. Appudu Krack yegisi yegisi thannindhi. Eppudu karthikeya2 dhorlinchi dhorlinchi thannuthundhi. So anni musukoni manchi movies ni encourage cheyyi...,hate
750,చాలా బాగా చెప్పారు అన్న దిల్ రాజు గాడు దొంగ నా కొడుకు ఒక మంచి సినిమాని ఆపేశారు కదరా దిల్ రాజు గాడు అయినా ఏమి పర్వాలేదు కార్తికేయ 2 సినిమాకి మంచి రెస్పాన్స్ వస్తుంది మూవీ సూపర్ బ్లాక్ బస్టర్ సెకండ్ టైం చూస్తా,hate
751,Nikhil ni support chyyandi manchi manchi scripts meeda work chstnnaru,non-hate
752,"Dil raju cinema ban chestam from degree college group students and antha tamil rockers, paniki malina rajuga",hate
753,Dilraj pani aiepoedi enka selav enka anni rojulu bye bye Ankul ,hate
754,మూవీ చాలా భాగుంధీ wow ప్రతి హిందువు తప్పక చూడాల్సిన మూవీ ఇది,non-hate
755,ఈ వీడియో ద్వారా మంచి సందేశాన్ని చెప్పారు అన్న చిన్న హీరోలు కూడా అవకాశాలు ఇవ్వాలని బడాలే పెద్దపుడింగులు కాదని చిన్న హీరోలు కూడా అవకాశం ఇచ్చేందుకు సపోర్ట్ చేసినందుకు ధన్యవాదాలు,non-hate
756,Nuvvu nijamgaa nippu ....the voice of truth anipinchaav thammi,non-hate
757,అంత దిల్ రాజ్ బొచ్చుకుకావాలనే ఇంత వెనుక పడి పోతున్నాము మన తెలుగు సినిమా,hate
758,స్వభుద్ది దూ రంగా పెట్టీ  పరులమాటలకు లొంగీ విలువిస్తాడు కాన సాధకుడు గ నిలిచి అన్నివిధాల రిచ్ ముమ్మాటికి కానే కాలేడు,non-hate
759,నిజంగా నా మనసు కలచివేసింది తారక్  అన్న గురించి  మీ మాటలు వింటుంటే,non-hate
760,చాలా బాగా మంచిగా  మాట్లాడరు హరికృష్ణ  గారూ.. CM గా  వచ్చింటే  బాగా ఉండేది.,non-hate
761,ఎన్టీఆర్ రియల్ లైఫ్ గా కూడా చాలా తెలివైనవాడు మంచి వాక్  చాతుర్యం ఉంది పొలిటికల్ లో కూడా సత్తా చాటే దమ్ము ఎన్టీఆర్ కి ఉంది,non-hate
762,ఎవరేమన్నా acting లో NTR tiger ను  మించినవాళ్లు దేశంలో film industry లో ఎవరూలేరేమో అనిపిస్తుంది.,non-hate
763,Evala takkuva theatres se.. Repu chudu... double avtay... mamuluga ledu movie...next level... Gopichand sahasam movie reference undi,non-hate
764,నందమూరి వారు ఎప్పుడు నిజాయితీగానే వుంటారు అభిమానులు బాగాచుసుకుంటారు గౌరవిస్తారు,non-hate
765,తెలంగాణా గురించి మొదటి  గా మంత్రి పదవికి రాజీనామా చేసిన గొప్ప మనిషి.. కోమటిరెడ్డి,non-hate
766,ఎందుకు sir అయిపోయిన పెళ్లికి మేళాలు!!! వదిలేయండి sir. ఇద్దరూ ఇలా తిట్టుకోవడం జనాలకి వినోదం అయిపోయింది sir,non-hate
767,నూటికో కోటికో ఎక్కడో ఎప్పుడో పుడతారు అది నువ్వే నువ్వే మాస్టారు మా దేవుడు నీవే మాస్టారు మా రాకేష్ మాస్టారు.. అని అన్న దా. మీ లక్ష్మి అమ్మ గారు. అమ్మ అమ్మ అంటూ గెంతు లు వేశారు. అమ్మ చేతి వంట అమృతం అన్నారు ఇప్పుడు అమ్మ ఏమైంది మాస్టర్ జి.మాయం అయిందా అనాధ శరనా లయం ఆశ్రయం అయ్యింద. సేవ పేరు తో డాన్స్ లు వేయండి సార్ ఏమిటో ఈ మాయ తెలియ కున్నాదయ. ఏడుకొండలు స్వామీ,non-hate
768,సబితా ఇంద్రా రెడ్డికి నిజం గా అంత విలువ ఇచ్చినా పార్టీ మారడం నిజంగా నన్ను షాక్ కు గురిచేసింది.. కాంగ్రెస్ ని అందరూ మోసం చేశారు.. ఏదోఒక రోజు తగిన గుణపాఠం చెబుతారు ప్రజలే..!!,hate
769,ప్రజల తరపున ఇంత సుదీర్ఘ పోరాటం చేసి తాను గెలిచి మమ్మల్ని గెలిపించిన దిలీప్ సుంకర గారికి హృదయ పూర్వక శుభాకాంక్షలు...జై భీమ్ ...జై భారత్...,non-hate
770,ilanti panikamalina vallanu interviews cheyakandi plz,hate
771,అసలు వీళ్లకు విచ్చలవిడిగా ఖర్చు పెట్టడానికి ఇన్ని డబ్బులు ఎలా వస్తాయో?,hate
772,Ilaa sollu cheppi kaanichestunnadu..,hate
773,Mottanaki neeku correct mogudu badaleswari ya,hate
774,Komatreddy Garu Telangana kosam Padavini rajinama chesi Niraahaara deeksha chesina Leadrs lo okkaru...Every one respects him,non-hate
775,"రఘునందన్ గారికి మంచి భవిష్యత్ ఉండాలి అని కోరుకుంటున్నా. ఇంటర్వ్యూ చాలా బాగుంది, ఫస్ట్ టైమ్ RK గారు బాగా మాట్లాడారు",non-hate
776,open heart with RK interview లలో  ఇప్పటివరకు చేసిన వాటిలో the Best ఇది. రఘునందన్ గారు స్పష్టంగా ఉన్నారు.,non-hate
777,"RK garu... Mee questioning bagundhi. But CM ni or Central Minister ni adagalsina questions aduguthunnaru. Overall it's a very good discussion.  My Vakheel Saab thopu, ayana maata muchata vignaanam chaala superb.  Way to go my MLA",non-hate
778,నాది శ్రీకాకులం జిల్లా.. కానీ రఘు అన్న వాగ్దాటికి అభిమానిని.. సంపూర్ణ మైన అవగాహన కలిగిన నాయకుడు..,non-hate
779,మంచి వాగ్ధాటి మంచి  నాయకత్వ లక్షణాలు ఉన్న మనసున్న నాయకుడు మా రఘు అన్న. జై భీమ్ జై భారత్,non-hate
780,చేసిన తప్పు కీ పశ్చాత్తాపం పడేవాడిని దేవుడు కచ్చితంగా  క్షమిస్తాడు,non-hate
781,Ycp లో నువ్వు చేసిన ఎదవ పని కి పార్టీ నుండి సస్పెండ్ చేసారు... అక్కడ తంతే ఇక్కడ పడ్డావ్,hate
782,నిన్ను పిలిచి మరి పవిత్రమైన పదవి ఒకటి ఇస్తే ... వెనుక నుండి పట్టుకుంటా .. నువ్వు ఒంగో నేను పైకి ఎక్కుతా అని నచ్చినట్టు వాగితే ఎవడు ఊరుకుంటాడు రా .. ..,hate
783,కొంచం  కుడా    సిగ్గు లేకుండా ఇంతా ధర్యం  గా సమాధానం చెప్పే మనిషిని  ఇప్పుడే చూస్తున్నాం ఒక్కో ప్రశ్న రాడ్ దింపినట్లు అడిగారు RK గారు సూపర్ ,hate
784,క్షవరం అయితే గానీ వివరం తెలియదు లెండి.... పృధ్వీ గారు,non-hate
785,చాలా సంతోషం  తప్పుని తెలుసుకొని  స్వచ్ఛమైన మనసు తో మాట్లాడుతున్నారు... మంచి  మార్పు.,non-hate
786,"ఎవడో గట్టిగా కొట్టాడేమో ""వెనుక"" నుండి.దెబ్బకి పోయిన మతి తిరిగొచ్చింది..ఏదైతేనే మీకు మళ్ళీ మంచి రోజులు రావాలి బాబాయ్..",hate
787,"ఆపరా.... నువ్వు ఒక అమ్మాయి తో నీచంగా వ్యవహరించి, వెనక నుంచి గట్టిగా పట్టుకుందా మనుకున్నా అని నీ character lose చేసుకున్నావ్... ఎవడెం చేస్తాడు?",hate
788,అన్న నువ్వు ఇదే fire తో continue అవ్వు. ఈ fake Youtubers and Travellers ని అంతం చెయ్యాలి. వీళ్ళ వల్ల ఎంతో మంది Unique content క్రియేటర్స్ కనుమరుగవుతున్నారు. You just keep going bro,non-hate
789,"నిజాన్ని నిజాయితీగా నిరూపించడం చాలా కష్టం అది నిజాయితీగా ఉన్నవాడికే సాధ్యం నీలో ఆ సత్తా ఉంది, నిజాయితీ ఉంది",non-hate
790,ఈ యాం కరు గారు  ఎంత బాగుంటారో చెప్పనలవి కాదు.  నాకు ఎంతో గౌరవము ఇష్టము; ఈమె ఇంకా ఇంకా కనిపించాలని నాకు ఆశ,non-hate
791,"రాజ శేఖర్ రెడ్డేమీ ప్రజాక్షేమం కోరే గొప్ప మనసున్న మనిషి కాదు. ఆయన “మహా మేత” అయితే, ఆయన కొడుకు జగన్ తండ్రిని మించిన “మహా మహా మేత”.",non-hate
792,జగన్మోహన్ రెడ్డి వల్ల పిల్లలు బాగా చూసుకున్నాడు అని యాంకర్ వాగు తోంది వాళ్ళ పిల్లల్ని కాక నీ పిల్లలు బాగా చూసుకుంటారు,hate
793,"మీ ఇద్దరికి దేవుడు సంస్కారం ఇచ్చిన ఉపయోగించడము లేదు ఏమైంది మీకు,  అలాగే జర్నలిజం తో పాటు అబద్దాలు చెప్పడము కూడా బాగా నెర్చారు. అన్ని దగ్గరుండి విన్నట్లు చెపుతున్నారు. చీ చీ చీ",hate
794,"Thq sir,challa chakagaa chayparuu...",non-hate
795,"Krishnarao garu 2007 episode marichipoyara, viveka resighnation kcr bypole time enduku e dabba kaburulu",hate
796,",waste interview vunnappudu oka maata lenappudu okamata",hate
797,"Kvp ki telusu jagan wtlanti vaado, anduke doiram jarigaadu,  karma emitante ap prajalake teliyatam ledu",hate
798,"Jagan ni poguthunnava, leka mingutunnava...indirect ga jagan secret lu ani cheptunnav.",hate
799,"మీరు చాలా అదృష్టం వంతులు మీకు దేవుడు మంచి అన్నను, తమ్ముడు ను ఇచ్చారు.",non-hate
800,సార్ నాగబాబు గారు మీరు మీ ఆర్థిక పరిస్థితి గురించి ఆలోచిస్తున్నారు అందులోని సాంగ్స్ నా జీవితాన్ని ఒక స్వర్గం లా మార్చాయి సార్ సూపర్ హిట్ సినిమా సర్ ఆరెంజ్ ఇప్పటివరకు నేను ఆ సాంగ్స్ వింటున్నాను మీ వల్ల సూపర్ సూపర్ నాగబాబు సార్ ఈ సినిమా నాకు ఫ్లాప్ కాదు హిట్టు,non-hate
801,ఆరెంజ్ సూపర్ మూవీ ..ఈ..రోజులో...సూపర్ హిట్ అయ్యేది...నాకు..చాల ఇష్టం..ఆరెంజ్ మూవీ,non-hate
802,పవన్ కళ్యాన్ గారు చిరంజీవి గారు పెర్సనల్ లైఫ్ కూడా గ్రేట్ నాగబాబు ని సేవ్ చేసారు స్వార్థం కొంత విడనాడి,non-hate
803,ఓపెన్ హార్ట్ విత్ ఆర్కేఇంటర్వ్యూ అంటే మనసులో ఉన్నది బైటకి తీయాలి అనే ఉదేసం ... నిజాలు నిప్పు లాంటివి .. చాలా థాంక్స్ సార్ మేవల్ల చాలా విషయాలు నేర్చుకుంటున్న ...,non-hate
804,"RK గారు మీకు, మీ టీం కి దన్యవాదాలు, సుతి మెత్తగా ప్రశ్నలు వర్ణించారు  అహంకారికి ...అహంకారం కాస్త తగ్గినట్లు అనిపిస్తొంది",non-hate
805,బ్రదర్ ల గురించి మీరు బాగా చెప్పారు ego లేకుండా చెప్పారు,non-hate
806,సార్ కెసిఆర్ గారు విషయాలను పూసగుచ్చినట్లు చెప్తున్నారు మాధవ రెడ్డి నయీమ్ ల సంబంధించిన వివరంగా మాట్లాడడానికి ఇబ్బంది పడుతున్నారు మీరు కూడా హండ్రెడ్ పర్సెంట్  ఫేక్,hate
807,దిలీప్ చందర్ సార్ గారు మిరు ప్రతివిషయాన్ని వక్రీకరించి చెప్తున్నారు మీరు చెప్తున్నా మాటల్లో కొన్ని అబద్దాలు కొట్టొచ్చినట్టు కనపడుతున్నాయి,hate
808,మోహన్ బాబు గారు కొన్ని ప్రశ్నలకు సమాధానం చెప్పలేక బిక్కమొహం వేశాడు. నీళ్లు నములుతున్నాడు,hate
809,నాయకురాలు సినిమా నుండి నేను నాగబాబు అభిమానిని. మెగా బ్రదర్స్ అంటే చాలా ఇష్టం. గొప్ప అన్నదమ్ములు,non-hate
810,రజినీకాంత్ గారితో open heart program చూడాలని ఉంది.,non-hate
811,"Love U Mohan Sir, మన బతేనయ్యకోన సాక్షిగా మీరు కాక ఇంక ఎవరు సినీ కళామ తల్లీ కి నిజమైన నీరాజనం పట్టే కళామ తల్లి ముద్దుబిడ్డ మీరే",non-hate
812,"Minority ayithe vadhileyaala , vaallemayina Nawab laa , vaallakemayina kommulu molachaaya , vaallemayina swargam lonchi oodipaddaara , minorities ki ee special treatment endhiraa",hate
